# depth[mm]	eDep/nEvents(50MeV)[MeV]	eDep/nEvents(75MeV)[MeV]	eDep/nEvents(100MeV)[MeV]	eDep/nEvents(125MeV)[MeV]	eDep/nEvents(150MeV)[MeV]	eDep/nEvents(175MeV)[MeV]	eDep/nEvents(200MeV)[MeV]
139	1.81E-06	2.87E-06	7.79E-05	0.000217587	1.17967	0.710877	0.573019
140	1.39E-06	1.61E-06	1.91E-05	0.000219074	1.20317	0.714627	0.574793
141	1.70E-06	0	0.000120395	0.000273016	1.22927	0.71818	0.573827
142	1.53E-06	4.83E-07	2.06E-05	0.00014867	1.26042	0.722346	0.576106
143	1.56E-06	3.92E-05	2.15E-05	0.000160038	1.29109	0.724194	0.576713
144	1.92E-06	3.14E-05	2.07E-05	0.000139976	1.32572	0.726835	0.579335
145	2.11E-06	9.94E-05	2.54E-05	7.50E-05	1.36637	0.730508	0.580715
146	2.32E-06	0	2.59E-05	0.000144534	1.41738	0.733656	0.584384
147	2.27E-06	5.84E-08	3.03E-05	0.000144214	1.47119	0.737151	0.582343
148	1.63E-06	1.50E-05	0.000189425	7.57E-05	1.53499	0.744446	0.584632
149	3.41E-06	6.94E-05	0.000140495	7.43E-05	1.60719	0.74833	0.58815
150	8.06E-06	0	0.000219125	0.00022759	1.69829	0.749811	0.586669
151	3.67E-06	1.12E-05	5.82E-05	0.000150376	1.81124	0.754805	0.586522
152	1.78E-06	0	7.51E-05	0.000157683	1.95714	0.761037	0.588825
153	1.44E-06	0	4.39E-05	8.62E-05	2.15195	0.763382	0.592221
154	1.53E-06	0	4.70E-05	0.000135323	2.40292	0.767969	0.593205
155	1.77E-06	0	5.59E-05	0.000198672	2.67681	0.774152	0.590679
156	1.52E-06	1.12E-09	0.000116945	0.00019428	2.85299	0.775526	0.593914
157	3.66E-06	0	9.66E-06	0.000193286	2.71382	0.781011	0.595748
158	2.75E-06	0	6.00E-06	0.000212651	2.18606	0.783497	0.59632
159	1.48E-06	1.71E-10	4.59E-06	2.28E-05	1.38428	0.791215	0.598608
160	4.23E-06	0	3.34E-05	7.68E-05	0.666384	0.795003	0.596342
161	4.96E-06	0	8.92E-05	2.42E-05	0.237018	0.801191	0.601977
162	0	0	1.12E-05	1.64E-05	0.0618833	0.806549	0.603754
163	0	0	2.07E-05	2.17E-05	0.0102232	0.814515	0.606056
164	0	0	3.35E-05	0.000100386	0.00152488	0.818949	0.611099
165	9.82E-07	0	6.25E-05	0.000102148	0.000612816	0.826117	0.61113
166	0	0	4.87E-06	6.59E-05	0.000311844	0.835154	0.615112
167	0	0	2.00E-06	0.000169419	0.000486443	0.842157	0.613877
168	0	0	1.29E-05	0.000290607	0.000265757	0.847872	0.61054
169	0	0	5.23E-06	0.000294194	0.000235828	0.859961	0.613843
170	0	1.01E-05	1.56E-05	0.000118181	0.000410576	0.863261	0.616351
171	0	0	6.00E-05	0.000113555	0.000716998	0.87334	0.619428
172	0	0	1.16E-05	7.08E-05	0.000183146	0.878329	0.620946
173	0	0	1.11E-05	0.000132779	0.000293036	0.89203	0.61849
174	0	0	7.71E-05	0.00025592	0.000273529	0.902203	0.622847
175	0	0	7.80E-05	9.46E-05	0.000395434	0.910505	0.62532
176	4.36E-07	2.19E-06	3.70E-05	0.000189177	0.000326878	0.919755	0.625159
177	1.61E-06	0	1.32E-05	4.96E-05	0.000356018	0.932567	0.628724
178	5.92E-06	0	0.000188705	5.02E-05	0.000213528	0.945886	0.631284
179	1.20E-05	3.70E-10	0.000141063	0.000111579	0.000255984	0.955791	0.631768
180	1.18E-06	6.49E-05	3.07E-05	4.88E-05	0.000305038	0.968006	0.633068
181	0	6.68E-08	4.11E-05	9.74E-06	0.000122601	0.983215	0.639714
182	0	7.44E-06	8.84E-05	6.16E-05	0.000124888	0.994819	0.640146
183	0	3.61E-06	5.18E-05	5.87E-05	0.000103348	1.01353	0.640573
184	0	0	6.68E-05	9.22E-05	0.00010633	1.02608	0.643279
185	0	0	9.16E-05	2.65E-05	0.000159294	1.04657	0.647839
186	0	0	5.10E-05	0.000146335	0.000171815	1.06214	0.650217
187	0	0	1.94E-05	0.000143421	0.000138064	1.08416	0.649507
188	0	3.81E-05	9.85E-05	0.000140557	0.000249468	1.10652	0.6513
189	0	2.96E-09	4.12E-05	6.22E-05	0.000217472	1.13309	0.655325
190	0	0	2.47E-05	0.000171536	0.00012019	1.1579	0.657075
191	0	5.37E-06	5.38E-05	2.54E-05	0.000199494	1.18836	0.661258
192	0	8.02E-06	2.56E-05	1.81E-05	9.82E-05	1.22265	0.664346
193	0	0	3.02E-05	0.00010498	6.62E-05	1.25806	0.669757
194	0	2.82E-09	0.000116515	0.000129666	8.33E-05	1.2965	0.670209
195	0	5.80E-05	4.20E-05	0.000233257	5.91E-05	1.34683	0.673167
196	0	0.000111211	0.000150856	4.55E-05	5.09E-05	1.39947	0.676258
197	0	2.01E-06	6.00E-05	8.21E-05	2.48E-05	1.46368	0.68162
198	0	2.34E-06	3.20E-06	8.68E-05	0.000133184	1.54164	0.682096
199	0	3.21E-06	5.13E-06	5.28E-05	0.000133296	1.64272	0.682573
200	0	1.14E-05	3.30E-06	2.87E-06	7.10E-05	1.77005	0.690028
201	0	6.25E-06	7.86E-06	6.27E-05	0.000129593	1.92124	0.690337
202	0	0	6.41E-06	4.62E-05	5.17E-05	2.10423	0.695449
203	0	0	6.22E-06	6.31E-06	9.81E-05	2.28966	0.699351
204	0	0	6.03E-06	0.000107012	0.000202307	2.41183	0.704497
205	0	0	8.13E-06	5.15E-05	0.000152079	2.37938	0.706878
206	0	0	3.71E-06	0.000113842	0.000186009	2.13987	0.708047
207	0	0	2.04E-05	1.09E-05	5.58E-05	1.70343	0.716417
